Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type,Temp_diff,Rot_speed_rad/s,Power,Tool_Torque,Machine failure,UDI
298.8,309.1,1418,46.3,133,1,10.300000000000011,148.49261275967754,6875.20797077307,6157.9,0,48
298.8,309.2,1425,53.9,135,0,10.399999999999977,149.22565104551518,8043.262591353267,7276.5,0,49
298.9,309.2,1412,44.1,140,2,10.300000000000011,147.86429422895958,6520.815375497118,6174.0,0,50
298.9,309.1,2861,4.6,143,1,10.200000000000045,299.6032193973466,1378.1748092277942,657.8,1,51
298.9,309.1,1383,54.9,145,1,10.200000000000045,144.82742133048944,7951.02543104387,7960.5,0,52
298.8,309.0,1497,43.8,147,0,10.199999999999989,156.76547341413067,6866.327735538923,6438.599999999999,0,53
298.7,309.0,1565,35.1,152,1,10.300000000000011,163.88641676226754,5752.413228355591,5335.2,0,54
298.7,309.0,1691,30.1,154,1,10.300000000000011,177.08110590734466,5330.141287811075,4635.400000000001,0,55
298.8,309.1,1512,40.7,156,1,10.300000000000011,158.33626974092556,6444.286178455671,6349.200000000001,0,56
298.8,309.1,1477,42.4,158,1,10.300000000000011,154.67107831173746,6558.053720417668,6699.2,0,57
298.8,309.1,1513,40.3,160,1,10.300000000000011,158.44098949604523,6385.171876690622,6448.0,0,58
298.8,309.0,1661,29.5,162,2,10.199999999999989,173.93951325375488,5131.215640985769,4779.0,0,59
298.8,309.1,1378,54.4,165,1,10.300000000000011,144.30382255489116,7850.127946986078,8976.0,0,60
298.8,309.1,1393,52.6,167,1,10.300000000000011,145.87461888168605,7673.004953176686,8784.2,0,61
298.8,309.0,1592,38.2,169,2,10.199999999999989,166.71385015049836,6368.469075749038,6455.8,0,62
298.8,309.0,1829,22.9,172,1,10.199999999999989,191.5324321138577,4386.092695407341,3938.7999999999997,0,63
298.9,309.0,1812,25.9,174,2,10.100000000000023,189.7521962768235,4914.581883569728,4506.599999999999,0,64
299.0,309.1,1523,38.6,177,1,10.100000000000023,159.48818704724184,6156.244020023535,6832.2,0,65
299.0,309.1,1394,45.1,179,1,10.100000000000023,145.97933863680572,6583.668172519938,8072.900000000001,0,66
298.9,308.9,1679,28.7,181,2,10.0,175.82446884590874,5046.162255877581,5194.7,0,67
298.8,308.9,1466,44.1,184,0,10.099999999999966,153.5191610054212,6770.195000339076,8114.400000000001,0,68
298.8,308.9,1527,32.4,189,1,10.099999999999966,159.90706606772045,5180.988940594142,6123.599999999999,0,69
298.9,309.0,1410,65.7,191,1,10.100000000000023,147.65485471872026,9700.923955019922,12548.7,1,70
298.9,309.0,1924,22.6,193,2,10.100000000000023,201.4808088502254,4553.4662800150945,4361.8,0,71
298.9,309.1,1452,45.5,196,1,10.200000000000045,152.053084433746,6918.415341735443,8918.0,0,72
298.9,309.1,1369,44.4,198,1,10.200000000000045,143.36134475881423,6365.243707291352,8791.199999999999,0,73
299.0,309.1,1592,35.0,200,1,10.100000000000023,166.71385015049836,5834.984755267443,7000.0,0,74
298.9,309.0,1601,32.3,202,1,10.100000000000023,167.6563279465753,5415.299392674381,6524.599999999999,0,75
298.8,308.9,1379,46.7,204,1,10.099999999999966,144.40854231001083,6743.878925877506,9526.800000000001,0,76
298.8,308.9,1461,47.9,206,1,10.099999999999966,152.99556222982292,7328.487430808518,9867.4,0,77
298.8,308.9,1455,41.3,208,1,10.099999999999966,152.36724369910496,6292.767164773035,8590.4,1,78
298.8,308.9,1398,51.5,0,1,10.099999999999966,146.39821765728436,7539.508209350145,0.0,0,79
298.8,308.9,1402,37.9,2,1,10.099999999999966,146.817096677763,5564.367964087218,75.8,0,80
298.8,308.8,1445,49.9,4,0,10.0,151.32004614790836,7550.870302780627,199.6,0,81
298.9,308.9,1450,47.5,9,1,10.0,151.84364492350667,7212.573133866567,427.5,0,82
298.9,308.9,1453,40.8,11,1,10.0,152.15780418886564,6208.038410905718,448.79999999999995,0,83
299.0,309.0,1469,40.1,13,1,10.0,153.8333202707802,6168.716142858287,521.3000000000001,0,84
298.9,308.9,1422,47.6,15,1,10.0,148.91149178015618,7088.187008735435,714.0,0,85
299.0,309.0,1804,26.8,17,2,10.0,188.9144382358662,5062.906944721215,455.6,0,86
299.0,309.0,1436,43.9,20,0,10.0,150.37756835183143,6601.575250645399,878.0,0,87
299.0,309.0,1544,31.8,25,1,10.0,161.6873019047547,5141.656200571199,795.0,0,88
299.0,309.0,1419,45.2,27,2,10.0,148.59733251479722,6716.599429668835,1220.4,0,89
298.9,308.9,1487,39.5,30,2,10.0,155.71827586293406,6150.871896585895,1185.0,0,90
298.9,308.9,1753,25.8,33,1,10.0,183.57373072476358,4736.2022526989,851.4,0,91
298.9,308.9,1830,24.9,35,1,10.0,191.63715186897738,4771.765081537536,871.5,0,92
298.9,308.9,1727,27.1,37,2,10.0,180.8510170916524,4901.06256318378,1002.7,0,93
299.1,309.0,1450,43.0,40,1,9.899999999999977,151.84364492350667,6529.276731710787,1720.0,0,94
299.0,308.9,1622,31.9,42,1,9.899999999999977,169.85544280408814,5418.388625450411,1339.8,0,95
299.0,309.0,1351,52.2,44,2,10.0,141.47638916666034,7385.06751449967,2296.8,0,96
299.0,309.0,1575,35.3,47,2,10.0,164.93361431346412,5822.156585265283,1659.1,0,97
298.9,308.9,1750,29.9,50,2,10.0,183.25957145940458,5479.4611866361965,1495.0,0,98
298.9,308.8,1529,32.7,53,1,9.900000000000034,160.11650557795977,5235.809732399285,1733.1000000000001,0,99
298.8,308.8,1523,44.4,55,1,10.0,159.48818704724184,7081.275504897538,2442.0,0,100
298.8,308.9,1852,25.0,57,1,10.099999999999966,193.94098648160988,4848.524662040247,1425.0,0,101
298.8,308.8,1991,20.7,59,1,10.0,208.4970324432426,4315.888571575122,1221.3,0,102
298.8,308.8,1555,40.6,61,1,10.0,162.83921921107094,6611.272299969481,2476.6,0,103
298.8,308.8,1441,40.5,63,2,10.0,150.90116712742972,6111.4972686609035,2551.5,0,104
298.8,308.7,1450,43.4,66,1,9.899999999999977,151.84364492350667,6590.01418968019,2864.4,0,105
298.8,308.7,1591,31.1,68,1,9.899999999999977,166.60913039537868,5181.543955296277,2114.8,0,106
298.8,308.7,1445,48.5,70,1,9.899999999999977,151.32004614790836,7339.022238173556,3395.0,0,107
298.8,308.8,1497,46.8,72,2,10.0,156.76547341413067,7336.624155781315,3369.6,0,108
298.9,308.8,1621,32.7,75,0,9.900000000000034,169.75072304896847,5550.84864370127,2452.5,0,109
298.9,308.7,1572,34.1,80,1,9.800000000000011,164.61945504810515,5613.523417140386,2728.0,0,110
298.8,308.6,1872,22.5,82,1,9.800000000000011,196.0353815840031,4410.79608564007,1845.0,0,111
298.7,308.6,1499,43.5,84,0,9.900000000000034,156.97491292437,6828.408712210095,3654.0,0,112
298.8,308.7,1498,39.5,89,2,9.899999999999977,156.87019316925034,6196.3726301853885,3515.5,0,113
298.8,308.6,1486,41.9,92,2,9.800000000000011,155.61355610781442,6520.208000917424,3854.7999999999997,0,114
298.8,308.6,1680,29.4,95,1,9.800000000000011,175.92918860102841,5172.318144870235,2793.0,0,115
298.8,308.6,1431,45.7,97,1,9.800000000000011,149.8539695762331,6848.3264096338535,4432.900000000001,0,116
298.9,308.7,1564,34.1,99,1,9.800000000000011,163.78169700714787,5584.955867943742,3375.9,0,117
298.8,308.6,1599,33.0,101,1,9.800000000000011,167.44688843633597,5525.747318399087,3333.0,0,118
298.8,308.6,1707,28.1,103,2,9.800000000000011,178.75662198925923,5023.0610778981845,2894.3,0,119
298.7,308.5,1467,40.7,106,1,9.800000000000011,153.62388076054089,6252.491946954015,4314.200000000001,0,120
298.9,308.7,1433,44.7,108,1,9.800000000000011,150.06340908647243,6707.834386165318,4827.6,0,121
298.9,308.7,1558,41.2,110,1,9.800000000000011,163.1533784764299,6721.919193228912,4532.0,0,122
299.0,308.8,1310,50.7,112,1,9.800000000000011,137.18287920675428,6955.171975782442,5678.400000000001,0,123
298.9,308.7,1546,43.4,114,1,9.800000000000011,161.896741414994,7026.31857741074,4947.599999999999,0,124
298.9,308.7,1727,29.4,116,1,9.800000000000011,180.8510170916524,5317.0199024945805,3410.3999999999996,0,125
298.9,308.6,1560,32.2,118,1,9.700000000000045,163.36281798666923,5260.28273917075,3799.6000000000004,0,126
299.0,308.6,1329,60.5,120,1,9.600000000000023,139.17255455402784,8419.939550518684,7260.0,0,127
298.9,308.6,1413,46.5,122,1,9.700000000000045,147.96901398407925,6880.559150259685,5673.0,0,128
299.0,308.6,1587,38.6,124,1,9.600000000000023,166.19025137490004,6414.9437030711415,4786.400000000001,0,129
298.9,308.5,1559,34.3,126,1,9.600000000000023,163.25809823154958,5599.75276934215,4321.799999999999,0,130
298.8,308.4,1473,41.1,128,1,9.599999999999966,154.25219929125885,6339.765390870739,5260.8,0,131
298.8,308.4,1737,27.7,130,1,9.599999999999966,181.898214642849,5038.580545606917,3601.0,0,132
298.7,308.4,1441,43.2,132,2,9.699999999999989,150.90116712742972,6518.930419904964,5702.400000000001,0,133
298.7,308.4,1430,49.6,135,2,9.699999999999989,149.74924982111347,7427.562791127228,6696.0,0,134
298.8,308.4,1369,53.0,138,1,9.599999999999966,143.36134475881423,7598.151272217154,7314.0,0,135
298.8,308.5,1711,28.5,140,2,9.699999999999989,179.17550100973787,5106.50177877753,3990.0,0,136
298.7,308.5,1420,45.7,143,0,9.800000000000011,148.70205226991686,6795.683788735201,6535.1,0,137
298.7,308.6,1297,55.3,148,1,9.900000000000034,135.8215223901987,7510.930188177988,8184.4,0,138
298.8,308.6,1449,49.4,150,0,9.800000000000011,151.738925168387,7495.902903318318,7410.0,0,139
298.8,308.6,1268,55.8,155,1,9.800000000000011,132.78464949172857,7409.383441638454,8649.0,0,140
298.8,308.6,1511,36.1,157,1,9.800000000000011,158.2315499858059,5712.158954487593,5667.7,0,141
298.7,308.5,1544,35.2,159,1,9.800000000000011,161.6873019047547,5691.393027047366,5596.8,0,142
298.6,308.4,1778,28.2,161,2,9.799999999999955,186.19172460275507,5250.606633797693,4540.2,0,143
298.6,308.4,1407,50.5,164,0,9.799999999999955,147.3406954533613,7440.705120394745,8282.0,0,144
298.6,308.4,1391,42.4,169,2,9.799999999999955,145.66517937144673,6176.203605349341,7165.599999999999,0,145
298.5,308.4,1513,33.6,172,1,9.899999999999977,158.44098949604523,5323.61724706712,5779.2,0,146
298.5,308.4,1612,36.1,174,0,9.899999999999977,168.80824525289154,6093.977653629385,6281.400000000001,0,147
298.4,308.4,1515,40.1,179,1,10.0,158.65042900628455,6361.882203152011,7177.900000000001,0,148
298.3,308.3,1379,48.0,181,2,10.0,144.40854231001083,6931.61003088052,8688.0,0,149
298.4,308.3,1473,39.9,184,1,9.900000000000034,154.25219929125885,6154.662751721228,7341.599999999999,0,150
298.4,308.3,1422,42.7,186,1,9.900000000000034,148.91149178015618,6358.52069901267,7942.200000000001,0,151
298.4,308.2,1463,37.6,188,2,9.800000000000011,153.20500174006224,5760.50806542634,7068.8,0,152
298.4,308.2,1584,41.0,191,2,9.800000000000011,165.87609210954108,6800.919776491184,7831.0,0,153
298.4,308.2,1850,27.0,194,1,9.800000000000011,193.73154697137056,5230.751768227005,5238.0,0,154
298.4,308.2,1528,36.2,196,1,9.800000000000011,160.01178582284012,5792.426646786813,7095.200000000001,0,155
298.4,308.2,1987,19.8,198,0,9.800000000000011,208.07815342276396,4119.9474377707265,3920.4,0,156
298.4,308.1,1495,46.0,203,2,9.700000000000045,156.55603390389135,7201.577559579002,9338.0,0,157
298.4,308.2,1478,43.5,206,0,9.800000000000011,154.77579806685713,6732.747215908285,8961.0,0,158
298.4,308.2,1499,40.0,211,2,9.800000000000011,156.97491292437,6278.996516974799,8440.0,0,159
298.4,308.2,1471,47.0,214,1,9.800000000000011,154.04275978101953,7240.009709707918,10058.0,0,160
298.4,308.2,1282,60.7,216,1,9.800000000000011,134.25072606340382,8149.0190720486125,13111.2,1,161
298.3,308.1,1412,52.3,218,1,9.800000000000011,147.86429422895958,7733.302588174585,11401.4,1,162
298.3,308.1,1586,35.5,0,1,9.800000000000011,166.0855316197804,5896.036372502204,0.0,0,163
298.4,308.2,1468,43.8,2,2,9.800000000000011,153.72860051566053,6733.312702585931,87.6,0,164
298.5,308.3,1440,43.6,5,2,9.800000000000011,150.79644737231007,6574.725105432719,218.0,0,165
298.5,308.4,1733,26.0,8,1,9.899999999999977,181.47933562237037,4718.4627261816295,208.0,0,166
298.4,308.2,1612,32.6,10,0,9.800000000000011,168.80824525289154,5503.148795244264,326.0,0,167
298.4,308.3,1458,42.9,15,0,9.900000000000034,152.68140296446393,6550.032187175502,643.5,0,168
298.4,308.3,1433,62.3,20,1,9.900000000000034,150.06340908647243,9348.950386087232,1246.0,1,169
298.4,308.3,1318,59.1,22,1,9.900000000000034,138.02063724771156,8157.019661339754,1300.2,0,170
298.4,308.2,1610,35.0,24,2,9.800000000000011,168.59880574265222,5900.958200992827,840.0,0,171
298.2,308.1,1462,50.8,27,1,9.900000000000034,153.10028198494257,7777.494324835082,1371.6,0,172
298.1,308.0,1924,20.8,29,2,9.899999999999977,201.4808088502254,4190.800824084688,603.2,0,173
298.2,308.0,1591,33.7,32,2,9.800000000000011,166.60913039537868,5614.727694324262,1078.4,0,174
298.2,308.1,1306,58.3,35,1,9.900000000000034,136.76400018627567,7973.341210859871,2040.5,0,175
298.2,308.1,1382,43.5,37,1,9.900000000000034,144.7227015753698,6295.437518528586,1609.5,0,176
298.2,308.1,1618,34.7,39,1,9.900000000000034,169.4365637836095,5879.4487632912505,1353.3000000000002,0,177
298.2,308.2,1988,21.4,41,1,10.0,208.1828731778836,4455.113486006709,877.4,0,178
298.2,308.2,1436,50.2,43,1,10.0,150.37756835183143,7548.953931261938,2158.6,0,179
298.2,308.3,1304,49.8,45,1,10.100000000000023,136.55456067603635,6800.41712166661,2241.0,0,180
298.2,308.3,1475,49.9,47,1,10.100000000000023,154.46163880149817,7707.635776194758,2345.2999999999997,0,181
298.2,308.3,1824,24.2,49,0,10.100000000000023,191.00883333825942,4622.413766785878,1185.8,0,182
298.1,308.2,1342,48.1,54,2,10.099999999999966,140.5339113705834,6759.681136925063,2597.4,0,183
298.1,308.2,1485,40.7,57,1,10.099999999999966,155.50883635269474,6329.209639554677,2319.9,0,184
298.2,308.2,1667,30.6,59,1,10.0,174.56783178447282,5341.775652604869,1805.4,0,185
298.2,308.2,1446,38.2,61,1,10.0,151.42476590302803,5784.426057495672,2330.2000000000003,0,186
298.1,308.3,1301,56.0,63,1,10.199999999999989,136.24040141067735,7629.462478997932,3528.0,0,187
298.2,308.4,1379,43.1,65,1,10.199999999999989,144.40854231001083,6224.008173561467,2801.5,0,188
298.3,308.5,1606,33.6,67,1,10.199999999999989,168.17992672217358,5650.845537865032,2251.2000000000003,0,189
298.3,308.4,1539,43.4,69,2,10.099999999999966,161.16370312915637,6994.504715805387,2994.6,0,190
298.2,308.4,1477,49.9,72,1,10.199999999999989,154.67107831173746,7718.086807755699,3592.7999999999997,0,191
298.2,308.4,1666,34.6,74,1,10.199999999999989,174.46311202935317,6036.42367621562,2560.4,0,192
298.2,308.4,1398,51.8,76,0,10.199999999999989,146.39821765728436,7583.42767464733,3936.7999999999997,0,193
298.2,308.4,1678,34.6,81,0,10.199999999999989,175.7197490907891,6079.903318541303,2802.6,0,194
298.2,308.5,2678,10.7,86,2,10.300000000000011,280.43950421044883,3000.7026950518025,920.1999999999999,1,195
298.3,308.5,1453,42.9,89,1,10.199999999999989,152.15780418886564,6527.569799702335,3818.1,0,196
298.3,308.6,1432,49.5,91,0,10.300000000000011,149.9586893313528,7422.955121901963,4504.5,0,197
298.4,308.6,1527,40.9,96,2,10.200000000000045,159.90706606772045,6540.199002169767,3926.3999999999996,0,198
298.4,308.7,1588,35.0,99,1,10.300000000000011,166.29497113001972,5820.32398955069,3465.0,0,199
298.4,308.6,1433,47.1,101,1,10.200000000000045,150.06340908647243,7067.986567972852,4757.1,0,200
298.4,308.6,1609,35.0,103,1,10.200000000000045,168.49408598753257,5897.29300956364,3605.0,0,201
298.3,308.5,1575,41.2,105,1,10.199999999999989,164.93361431346412,6795.264909714722,4326.0,0,202
298.4,308.5,1636,35.7,107,2,10.100000000000023,171.3215193757634,6116.178241714753,3819.9,0,203
298.4,308.5,1490,37.9,110,1,10.100000000000023,156.03243512829306,5913.6292913623065,4169.0,0,204
298.4,308.5,1741,32.8,112,1,10.100000000000023,182.31709366332765,5980.000672157146,3673.5999999999995,0,205
298.5,308.6,1344,53.0,114,2,10.100000000000023,140.74335088082273,7459.397596683605,6042.0,0,206
298.5,308.7,1609,35.3,117,1,10.199999999999989,168.49408598753257,5947.8412353599,4130.099999999999,0,207
298.4,308.7,1421,60.7,119,2,10.300000000000011,148.80677202503654,9032.571061919718,7223.3,1,208
298.4,308.6,1591,36.7,122,1,10.200000000000045,166.60913039537868,6114.555085510398,4477.400000000001,0,209
298.4,308.6,1477,44.0,124,1,10.200000000000045,154.67107831173746,6805.527445716449,5456.0,0,210
298.4,308.7,1523,36.1,126,1,10.300000000000011,159.48818704724184,5757.523552405431,4548.6,0,211
298.5,308.7,1575,33.9,128,1,10.199999999999989,164.93361431346412,5591.249525226433,4339.2,0,212
298.4,308.7,1344,52.9,130,0,10.300000000000011,140.74335088082273,7445.323261595522,6877.0,0,213
298.4,308.7,1386,44.9,135,1,10.300000000000011,145.14158059584844,6516.856968753595,6061.5,0,214
298.3,308.6,1589,37.1,137,2,10.300000000000011,166.39969088513936,6173.428531838671,5082.7,0,215
298.3,308.6,1548,40.3,140,1,10.300000000000011,162.1061809252333,6532.879091286902,5642.0,0,216
298.3,308.6,1499,38.3,142,1,10.300000000000011,156.97491292437,6012.13916500337,5438.599999999999,0,217
298.3,308.5,1664,31.6,144,1,10.199999999999989,174.25367251911385,5506.416051603998,4550.400000000001,0,218
298.3,308.6,1447,38.1,146,1,10.300000000000011,151.52948565814768,5773.2734035754265,5562.6,0,219
298.3,308.5,1434,46.2,148,2,10.199999999999989,150.1681288415921,6937.767552481556,6837.6,0,220
298.3,308.5,1416,52.7,151,1,10.199999999999989,148.28317324943822,7814.523230245395,7957.700000000001,0,221
298.4,308.5,1827,24.3,153,0,10.100000000000023,191.3229926036184,4649.148720267927,3717.9,0,222
298.4,308.6,1304,45.0,158,1,10.200000000000045,136.55456067603635,6144.955230421636,7110.0,0,223
298.4,308.6,1569,34.4,160,1,10.200000000000045,164.30529578274619,5652.102174926468,5504.0,0,224
298.3,308.6,1584,29.3,162,1,10.300000000000011,165.87609210954108,4860.169498809553,4746.6,0,225
298.3,308.5,1362,53.8,164,1,10.199999999999989,142.6283064729766,7673.40288824614,8823.199999999999,0,226
298.3,308.4,1329,49.2,166,1,10.099999999999966,139.17255455402784,6847.28968405817,8167.200000000001,0,227
298.3,308.5,1539,36.1,168,1,10.199999999999989,161.16370312915637,5818.009682962545,6064.8,0,228
298.3,308.5,1629,37.1,170,2,10.199999999999989,170.58848108992575,6328.832648436246,6307.0,0,229
298.3,308.5,1538,32.2,173,1,10.199999999999989,161.05898337403673,5186.099264643983,5570.6,0,230
298.3,308.6,1570,34.8,175,1,10.300000000000011,164.41001553786583,5721.46854071773,6089.999999999999,0,231
298.3,308.4,1408,43.1,177,1,10.099999999999966,147.44541520848094,6354.897395485528,7628.7,0,232
298.2,308.4,1424,47.6,179,1,10.199999999999989,149.1209312903955,7098.156329422826,8520.4,0,233
298.2,308.4,1512,34.9,181,1,10.199999999999989,158.33626974092556,5525.935813958302,6316.9,0,234
298.2,308.4,1478,42.9,183,1,10.199999999999989,154.77579806685713,6639.881737068171,7850.7,0,235
298.1,308.3,1680,33.7,185,2,10.199999999999989,175.92918860102841,5928.8136558546585,6234.500000000001,0,236
298.1,308.3,1495,38.7,188,1,10.199999999999989,156.55603390389135,6058.718512080595,7275.6,0,237
298.0,308.1,1552,36.6,190,2,10.100000000000023,162.52505994571194,5948.417194013057,6954.0,0,238
297.9,308.1,1393,50.3,193,1,10.200000000000045,145.87461888168605,7337.493329748808,9707.9,0,239
298.0,308.2,1611,30.6,195,1,10.199999999999989,168.7035254977719,5162.32788023182,5967.0,0,240
298.0,308.1,1339,51.6,197,2,10.100000000000023,140.21975210522442,7235.33920862958,10165.2,0,241
298.0,308.1,1777,24.3,200,1,10.100000000000023,186.0870048476354,4521.91421779754,4860.0,0,242
298.0,308.2,1348,58.8,202,1,10.199999999999989,141.16222990130137,8300.33911819652,11877.599999999999,1,243
298.0,308.2,1442,44.1,204,1,10.199999999999989,151.0058868825494,6659.359611520428,8996.4,0,244
298.0,308.2,1395,49.1,206,2,10.199999999999989,146.08405839192537,7172.727267043536,10114.6,0,245
297.9,308.1,1627,31.4,209,2,10.200000000000045,170.37904157968643,5349.901905602153,6562.599999999999,0,246
297.9,308.1,1585,33.5,212,1,10.200000000000045,165.98081186466072,5560.3571974661345,7102.0,0,247
298.0,308.2,1469,45.5,214,1,10.199999999999989,153.8333202707802,6999.4160723205,9737.0,0,248
298.0,308.3,1362,56.8,216,1,10.300000000000011,142.6283064729766,8101.2878076650695,12268.8,1,249
298.0,308.3,1405,56.2,218,1,10.300000000000011,147.13125594312197,8268.776584003455,12251.6,1,250
298.0,308.3,1662,32.7,0,1,10.300000000000011,174.04423300887453,5691.246419390198,0.0,0,251
298.0,308.2,1466,42.6,2,2,10.199999999999989,153.5191610054212,6539.916258830944,85.2,0,252
298.0,308.2,1620,35.8,5,1,10.199999999999989,169.64600329384882,6073.326917919787,179.0,0,253
298.0,308.2,1357,48.2,7,1,10.199999999999989,142.1047076973783,6849.446911013634,337.40000000000003,0,254
298.0,308.2,1514,37.9,9,1,10.199999999999989,158.54570925116488,6008.8823806191485,341.09999999999997,0,255
298.0,308.2,1489,40.4,11,1,10.199999999999989,155.92771537317338,6299.479701076205,444.4,0,256
298.1,308.3,1331,63.0,13,1,10.199999999999989,139.38199406426716,8781.06562604883,819.0,0,257
298.0,308.0,1615,29.5,15,1,10.0,169.12240451825053,4989.110933288391,442.5,0,258
298.1,308.2,1482,37.9,17,1,10.099999999999966,155.19467708733578,5881.878261610026,644.3,0,259
298.1,308.2,1420,63.9,19,2,10.099999999999966,148.70205226991686,9502.061140047686,1214.1,1,260
298.2,308.3,1522,49.1,22,2,10.100000000000023,159.38346729212216,7825.728244043198,1080.2,0,261
298.1,308.2,1654,32.1,25,1,10.099999999999966,173.20647496791725,5559.927846470144,802.5,0,262
298.1,308.2,1736,26.8,27,2,10.099999999999966,181.79349488772937,4872.065662991147,723.6,0,263
298.0,308.1,1587,32.3,30,2,10.100000000000023,166.19025137490004,5367.945119409271,968.9999999999999,0,264
298.1,308.2,1390,47.5,33,1,10.099999999999966,145.56045961632708,6914.1218317755365,1567.5,0,265
